NAME,TIME,LAT,LON,DEPTH,MAG
2015-07-13T00-54-00,2015-07-13T00-54-00,0,0,0,0
2015-07-13T01-14-00,2015-07-13T01-14-00,0,0,0,0
2015-07-13T02-23-00,2015-07-13T02-23-00,0,0,0,0
2015-07-13T03-04-00,2015-07-13T03-04-00,0,0,0,0
2015-07-13T04-09-00,2015-07-13T04-09-00,0,0,0,0
2015-07-13T04-10-00,2015-07-13T04-10-00,0,0,0,0
2015-07-13T11-11-00,2015-07-13T11-11-00,0,0,0,0
2015-07-13T11-21-00,2015-07-13T11-21-00,0,0,0,0
2015-07-13T16-42-00,2015-07-13T16-42-00,0,0,0,0
2015-07-13T19-32-00,2015-07-13T19-32-00,0,0,0,0
2015-07-13T19-39-00,2015-07-13T19-39-00,0,0,0,0
2015-07-13T20-58-00,2015-07-13T20-58-00,0,0,0,0
2015-07-13T21-18-00,2015-07-13T21-18-00,0,0,0,0
2015-07-14T07-17-00,2015-07-14T07-17-00,0,0,0,0
2015-07-14T10-35-00,2015-07-14T10-35-00,0,0,0,0
